한글명,영문명,등급,효과별,분류,성분설명,연관성분,참고논문
SYN-TC,SYN-TC,훌륭함,안티에이징,펩타이드,"SYN-TC®는 세 가지 펩타이드의 합성 혼합물로 피부 기저층에서 콜라겐을 건강하게 유지하는 데도움을 준다. 피부에 사용한 결과, 피부가 더 매끄럽고 탄탄해 보이며 탄력성을 회복한 것으로 나타났다. (일부 경우에는 2.5%의 농도로 하루에 두 번 사용하는 경우도 있다.)
펩타이드 복합체는 성분을 구성하는 각 펩타이드들이 어떻게 서로 상호작용하느냐에 따라 효능이 달라진다. 일례로 SYN-TC의 주요 펩타이드 중 하나인 팔미토일다이펩타이드-5다이아미노부틸로일하이드록시트레오닌는 연구에 따르면 진피와 표피의 접합부에서 발견되는 특정 콜라겐과 단백질을 지탱하는 데 도움을 주는데, 이는 성분을 구성하는 각 펩타이드가 서로 시너지 효과를 발휘하여 효과를 극대화 한 것이다. 그리고 이는 스킨케어 성분에 관한 한 “함께하면 더 좋은” 접근법의 또 다른 사례라 하겠다.","팔미토일트라이펩타이드-5, 팔미토일다이펩타이드-5다이아미노부틸로일하이드록시트레오닌, 펩타이드","Journal of Cosmetic Dermatology, April 2022, pages 3,458–3,463
Maibach, Howard I. and Gorouhi, Farzam. Textbook of Aging Skin, January 2016, pages 1–33
Journal of Cosmetic Dermatology, June 2010, pages 108–116
Journal of Clinical and Aesthetic Dermatology, March 2009, issue 3, pages 38-43"
가는범꼬리뿌리추출물,Polygonum Bistorta Root Extract*,훌륭함,"안티에이징, 피부 톤 개선, 수분 공급, 진정","항산화제, 식물추출물","아시아, 유럽 등에 널리 분포하는 가는범꼬리 풀의 뿌리 추출물이다. 이 성분을 연구하고 공급하는 업체는 이 성분이 피부 표피 접합부에 존재하는 퍼레칸(perlecan)과 그 수용체 부위인 디스트로글리칸(dystroglycan)의 두 가지 물질을 지원하는 데 도움이 된다고 말한다. 퍼레칸은 단백질과 글리코사미노글리칸(히알루론산도 이 중 하나)을 포함하는 물질을 뜻하는 프로테오글리칸(proteoglycan)이다. 이는 피부 기저층에서 일어나는 상호작용을 정상적으로 이루어지도록 한다. 만약 여기에 혼선이 빚어진다면 피부가 칙칙하고 피곤해보이며 고르지 못한 피부 톤이 나타난다.
가는범꼬리뿌리추출물을 피부에 사용하면 몇 주 만에 눈에 띄게 광채가 되살아나고 피부 표면이 매끄럽게 복원된다. 눈 주위를 포함해 피부의 주름을 연하게 만든다.
다른 식물 추출물과 마찬가지로 좋은 항산화제 공급원으로, 연구를 통해 비타민 C 정화작용에 필적하는 강력한 항산화제로 나타났다. 어느 정도의 진정작용도 있다. 이 성분이 피부의 민감 작용을 어떻게 진정시킬지는 앞으로 발표될 연구 결과가 보여줄 것이다.
스킨케어 제품에서 가는범꼬리뿌리추출물의 권장 사용 수준은 글라이콜과 결합된 액체로 사용될 때 1~3%다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,"Journal of Ethnopharmacology, October 2020, ePublication
Asian Pacific Journal of Topical Biomedicine, July 2014, pages S639–S643
International Journal of Pharmacological and Pharmaceutical Sciences, Volume 3, 2009, pages 74–79"
가시선인장,Prickly Pear,훌륭함,"안티에이징, 진정, 피부 요철 완화","항산화제, 식물추출물",,하이드롤라이즈드보검선인장꽃추출물,
가자열매추출물,Terminalia Chebula Fruit Extract*,훌륭함,"안티에이징, 진정","항산화제, 식물추출물","남아시아를 원산지로 하는 아유르베다 식물 추출물로 ’약제의 왕’이라고도 부른다. 연구 결과에 따르면, 햇빛으로부터 피부를 보호하고 피부 층을 탄탄하게 지지하는 콜라겐, 엘라스틴과 같은 구성 요소를 유지하는 데 도움을 준다. 미로발란(Myrobalan)이라는 이름으로도 알려진 이 식물은 갈릭애씨드, 엘라직애씨드와 같이 항산화 작용을 하는 페놀 화합물의 풍부한 공급원이다. 쿼세틴과 같은 항산화제와의 비교 연구에서 가자열매추출물에 함유된 항산화제 혼합물이 다양한 유형의 활성 산소를 상쇄하는 데 95% 효과가 있다고 나타났다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,"Pharmaceutical Biology, November 2016, pages 2,701-2,707
Advances in Pharmacological Sciences, January 2016, ePublication
Asian Pacific Journal of Tropical Biomedicine, March 2013, pages 244-252"
갈릭애씨드,Gallic Acid*,훌륭함,"안티에이징, 다크스팟 개선",항산화제,"갈릭애씨드는 과일 (포도씨 등), 곡물, 채소에서 천연적으로 발견되는 페놀성 화합물이다. 강력한 항산화 성질을 띠고 있으며, 프리라디컬 손상으로 인한 문제점과 자외선 및 오염물질로 인한 노화 징후를 개선/완화시키는 역할을 한다.
갈릭애씨드는 피부 자극을 유발할 수 있는 요소를 억제하고, 멜라닌의 과잉 생산을 방해하여 과색소침착된 부위를 개선시킨다는 연구 결과가 있다. 원재료로서의 갈릭애씨드는 무색 또는 옅은 노란색을 띤 크리스탈 제형이다.
스킨 케어 제품에서 갈릭애씨드는 0.5-1% 사이의 농도로 함유되어 사용된다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","다이글루코실갈릭애씨드, 프로필갈레이트, 에피갈로카테킨갈레이트","Clinical, Cosmetic and Investigational Dermatology, 2021, pages 1,675-1,683
European Journal of Pharmaceutical Sciences, April 2019, pages 39-49
Iranian Journal of Basic Medical Science, March 2019, pages 225–237
Current Pharmaceutical Design, December 2018, pages 5,181-5,187
Polymers, August 2017, page 391
Phytotherapy Research, December 2014, pages 1778-1788
Biofactors, May/June 2013, pages 259-270"
감마리놀레닉애씨드,Gamma Linolenic Acid (GLA),훌륭함,"수분 공급, 안티에이징","유연제(연화제), 항산화제","감마리놀레닉애씨드(GLA)는 지방산으로, 화장품에 연화제 및 항산화제로 사용된다. 이 성분은 피부 진정제로 간주되며 블랙커런트(Black Currant) 오일이나 씨앗, 달맞이꽃 오일 및 보리지(Borage) 오일에서 발견된다.","지방산, 지엘에이","Biochemical and Biophysical Research Communications, March 17, 1998, pages 414-420"
감초뿌리,Licorice Root,훌륭함,"다크스팟 개선, 진정, 안티에이징","항산화제, 식물추출물","감초뿌리에서 유래한 식물성 원료로, 일반적으로 감초 뿌리 추출물 또는 ‘Glycyrrhiza glabra root extract’라는 명칭으로 화장품에 사용된다.
현대 연구에 따르면, 이러한 전통적 활용은 과학적으로도 근거가 있으며, 감초 뿌리에는 피부에 유익한 여러 활성 화합물이 함유되어 있다. 특히 주요 성분인 글리시레티닉애씨드(glycyrrhetinic acid)는 항산화 효과뿐 아니라 자극받은 피부를 진정시키고, 붉어짐을 완화하는 데 도움을 주며, 동시에 색소 침착 개선에도 기여하는 것으로 알려져 있다.
Cosmetic Ingredient Review (CIR) 패널은 감초 뿌리 성분이 화장품에서 최대 4%까지 안전하게 사용할 수 있다고 평가하였다.","감초추출물, 스페인감초, 글리시레티닉애씨드","Cosmetic Ingredient Review, Website, Accessed August 2024
Complementary Therapies in Medicine, May 2023, ePublication
Cosmetics, January 2022, pages 1-19
Biomedicine & Pharmacotherapy, November 2021, pages 1-15
Current Issues in Molecular Biology, September 2021, pages 1,171-1,187
Textbook of Natural Medicine, July 2020, pages 641-647"
감초뿌리추출물,Glycyrrhiza Uralensis (Licorice) Root Extract*,훌륭함,"진정, 안티에이징","항산화제, 식물추출물","감초뿌리추출물은 일반적으로 중국감초(Chinese Licorice)라고 알려진 식물에서 추출되며, 다른 형태의 감초와 마찬가지로 진정 및 노화 방지 효과가 있다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",스페인감초,
감초추출물,Licorice Extract,훌륭함,"다크스팟 개선, 진정, 안티에이징","항산화제, 식물추출물","이 추출물은 식물 분류상 _Glycyrrhiza glabra_(감초)로 명명된 식물에서 추출한 성분이다. ‘감초 추출물(Licorice extract)’은 일반적인 용어이며, 많은 경우 화장품 회사는 감초 뿌리 추출물이나 감초 씨 추출물처럼 식물의 특정 부위를 사용하면서 해당 식물의 정식 라틴어 학명을 함께 표기한다.
감초는 여러 가지 이유로 스킨케어 제품에서 가치 있는 성분이다. 가장 중요한 이유는, 감초가 식물 추출물로서 항산화 특성을 지니고 있어 노화의 주요 원인 중 하나인 산화 스트레스를 억제하는 데 도움을 줄 수 있기 때문이다.
특히 주목할 만한 점은, 감초의 주요 성분 중 하나인 글리시레티닉애씨드이다. 이 성분은 항산화 작용뿐 아니라, 강력한 항염 효과를 보인다는 다양한 연구 결과가 있으며, 손상되거나 붉어진 피부를 위한 진정 제품에 효과적인 성분으로 널리 활용되고 있다. 더 나아가, 항염 특성은 피부의 염증 반응을 줄이는 데 도움을 주며, 이로 인해 간접적으로 색소 침착 및 피부 톤 불균형을 완화하는 데 기여할 수 있다.","글리시레틱애씨드, 감초뿌리, 글라브리딘","Biomedicine & Pharmacotherapy, November 2021, pages 1-15
Journal of Phamaceutical Care, August 2020, pages 186-195
Biological Chemistry, April 2024, pages 407-415
Bioorganic & Medicinal Chemistry Letters, November 2022, ePublication
Mediators of Inflammation, January 2021, pages 1-17
International Journal of Cosmetic Science, August 2019, pages 325-331
International Journal of Toxicology, March 2007, pages 79-112"
강황(울금),Turmeric,훌륭함,"안티에이징, 진정, 피부 톤 개선",항산화제,"강황(울금)의 뿌리를 건조한 후 갈아서 만든 향신료이다. 특유의 황금색을 띄게하는 친유성(Lipophilic)의 폴리페놀 항산화 색소인 커큐민을 함유하고 있다.
식품 향신료 역할 외에도, 강황은 음식 또는 보조제로 섭취하거나 국소 부위에 바를 시 수많은 건강상의 이점이 있다. 진행중인 한 연구에 따르면 강황과 강황에 함유된 커큐민은 안전하면서도 강력한 효능으로 피부를 더욱 건강하게 가꾸어주는 것으로 나타났다.
체내(_In-vivo_)연구에서는 강황 및 강황의 유도체는 자극 반응을 일으키는 피부 세포의 신호 전달 경로를 방해하는 것으로 나타났다. 이러한 작용을 통해 피부를 진정시키고, 여드름으로 인한 붉은기를 가라앉히는 회복 경로를 작동시켜 피부 톤을 정돈하고 건강하게 가꾸어 준다.
또 다른 연구에 따르면 강황에는 다양한 항산화제가 포함되어 있는데, 특히 커큐민 함량 떄문에 강력한 항산화제로 작용한다고 나타났다. 강황을 피부에 바르면 외부 요인으로 발생할 수 있는 피부 손상의 징후를 예방할 수 있다. 또한 UVB 광선으로 인한 피부 손상을 방지하는데 어느정도 도움을 줄 수 있다.
다른 항산화제와 마찬가지로, 지속적으로 빛과 공기에 노출되면 효능이 저하되고 피부에 대한 가용성이 감소되기 때문에 보관 시 공기와 빛을 차단해야 한다.
일부 연구에서는 강황은 항산화제 역할 외에도 커큐민 성분이 피부의 히알루론산 함량을 높이는 데 기여하는 것으로 나타났기 때문에, 수분 공급에도 효과가 있는 것으로 생각할 수 있다.","커큐민, 테트라비스디메톡시하이드로커큐민, 테트라하이드로메톡시커큐민, 테트라하이드로디메톡시커큐민, 울금뿌리","Nutrients, September 2019, ePublication
Journal of Cellular Physiology, February 2019, pages 1,165-1,178
Critical Reviews in Food Science and Nutrition, September 2017, pages 2,889-2,895
British Journal of Pharmacology, June 2017, pages 1,325-1,348
Phytotherapy Research, August 2016, pages 1,243-1,264"
검정콩오일,Glycine Max (Soybean) Oil*,훌륭함,"안티에이징, 수분 공급","항산화제, 유연제(연화제), 식물추출물","검정콩오일은 야생 대두(Glycine Soja)가 아닌 재래종 대두콩(Glycine Max)에서 추출된 오일이다. 두 종류의 콩이 유전적으로 다르다고 간주되지만, Glycin max 오일과 Glycine soja 오일은 비슷한 효능을 갖고 있다.
다른 식물성 오일들과 마찬가지로 검정콩오일 또한 항산화 성질을 지니고 있지만, 검정콩오일엔 피부의 자연 보습 요소를 재생시켜주고 피부장벽을 강화시키는데 도움을 주는 리놀레익,올레익,리놀레닉애씨드를 포함한 다양한 지방산또한 함유되어 있다
독립적인 Cosmetic Ingredient Review panel은 Glycine max 식물 및 Glycine soja 오일과 연관된 오일에 포함되어 있는 성분이 안전하다고 평가했지만 아직 검정콩오일에 특정된 평가를 하지 않았다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","돌콩오일, 돌콩스테롤, 돌콩추출물, 하이드로제네이티드돌콩오일, 말리에이티드콩오일","Journal of Cosmetic Dermatology, October 2022, pages 4,931-4,941
Cosmetic Ingredient Review, July 2020, ePublication
International Journal of Pharmacognosy and Phytochemical Research, December 2015, pages 1,167-1,171
Molecules, November 2013, pages 14,448-14,454
BMC Genomics, January 2013, ePublication
International Journal of Current Biological and Medical Science, April 2011, pages 49-62"
고구마뿌리추출물,Ipomoea Batatas Root Extract,훌륭함,"안티에이징, 진정","항산화제, 식물추출물","피부컨디셔닝제
등급이 표시되지 않는 이유는 무엇일까요? 사실 성분 연구는 심층 분석을 필요로 하고 이를 위해서 충분한 시간이 필요합니다. 폴라초이스 연구진은 정확한 정보를 제공하기 위해 노력하고 있으며, 담당 팀에서 현재 내용을 검토중이거나 곧 진행할 예정입니다. 폴라초이스의 성분 데이터베이스는 매일 업데이트되고 있으니 수시로 최신 정보를 확인해주세요.",고구마추출물,
고지열매추출물,Goji Fruit Extract,훌륭함,안티에이징,"항산화제, 식물추출물","아시아가 원산지인 선명하고 따뜻한 붉은색의 열매로, 피부와 신체를 환경적인 요인으로 인한 손상으로부터 보호하는 데 도움을 주는 페놀릭애씨드 및 플라보노이드와 같은 항산화 화합물의 매우 훌륭한 공급원이다. 수많은 잠재적인 건강상의 이점을 제공한다. 이 식물의 폴리사카라이드(다당류)는 건강에 요긴하다고 입증되었으며 항산화 성분은 피부에 바르거나 또는 경구 섭취 시 유해 환경으로 인한 손상의 징후를 개선하는 데 도움을 준다. 고지(구기자)는 종종 피부와 신체에 기적을 일으키는 성분이라 홍보되지만, 이는 사실을 과장한 주장이다. 구기자는 아주 좋은 성분임에 분명하지만, 현존하는 최고의 베리는 아니다. 고려해볼만한 몇 가지의 훌륭한 열매 성분 중 하나이며, 피부 관리나 식단에 많이 포함될수록 더욱 이로운 성분이다.",영하구기자추출물,"Oxidative Medicine and Cellular Longevity, January 2019, ePublication
Aging and Disease, December 2017, pages 778-791
Drug Design, Development and Therapy, Volume 9, 2015, pages 33-78"
고투콜라,Gotu Kola,훌륭함,"안티에이징, 진정","식물추출물, 항산화제","고투콜라(Gotu Kola, 병풀)은 아시아에서 주로 자라는 다년생 허브이다. 성분 목록에는 센텔라 아시아티카 (_Centella asiatica_), 아시아틱애씨드(Asiatic acid), 하이드로코틸(Hydrocotyl)이라고 기재할 수 있다. 수년 동안 요리 및 의약 용도로 사용되었지만 많은 전통적인 식물 추출물과 마찬가지로 피부 관리 성분으로 인기를 얻고 있다. 병풀은 “시카 크림”으로 알려진 보습제의 핵심 성분으로, 한국에서 처음으로 인기를 얻었다. “시카(Cica)”는 센텔라 아시아티카(_Centella asiatica_)의 줄임말로, 시카 크림은 진정과 항염 작용을 한다고 잘 알려져 있다.
병풀은 항산화제 역할을 하는 마데카소사이드와 같은 활성 화합물 덕분에 피부에 여러 이점을 준다. 병풀은 그 자체로도 강력한 항산화 특성과 아미노산의 풍부한 공급원이라고 나타났으며, 이에 더불어 손상되거나 뒤집힌 피부를 진정시키는 데 좋은 수분 공급제라는 추가적인 연구도 있다.
병풀은 5%의 농도에서 피부의 수분 함량을 눈에 띄게 개선해주었으며, 더 낮은 농도 또한 진정 및 항산화 효과를 비롯하여 피부에 가치가 있다. 예를 들어, 0.2-0.5%의 농도는 세라마이드엔에스(Ceramide NS)를 촉진시켜 수분을 유지하고 피부 장벽을 개선하는 데 도움을 준다. 세라마이드엔에스는 모르타르 물질의 일종으로, 피부 표면을 매끄럽게 하고 온전하게 유지시킨다.","병풀추출물, 하이드로코틸추출물","Phytomedicine, April 2018, pages 110–119
Clinical, Cosmetic, and Investigational Dermatology, August 2017, pages 311–315
Indian Journal of Pharmaceutical Sciences, Jan-Feb 2016, pages 27–33
Postepy Dermatologii I, February 2013, pages 46–49
Indian Journal of Pharmaceutical Sciences, 2010, pages 546–556"
구스베리열매추출물,Emblica Officinalis (Gooseberry) Fruit Extract,훌륭함,안티에이징,"항산화제, 식물추출물","구스베리열매추출물은 암라(Amla)라고도 알려져 있는 인도산 과일의 추출물로, 항산화 물질, 특히 갈릭애씨드, 쿼세틴 및 루틴과 같은 플라보노이드를 포함한 페놀(Phenolic)계열 항산화 물질의 가장 풍부한 식물 공급원 중 하나이다. 구스베리열매추출물에 함유된 항산화물은 수많은 유형의 유해산소(Free radicals)로부터 피부를 보호하는 놀라운 능력을 지닌다. 또한 구스베리열매추출물은 항산화 능력과 함께 발적(Redness) 및 피부 민감성과 같은 가시적인 피부 문제의 징후를 유발하는 요인을 진정시키는 역할을 한다고 입증되었다. 이 열매는 음식이나 보충제로 섭취하였을 때 다양한 유형의 유해 분자가 신체에 해를 끼치지 전에 제거하는 매우 인상적인 항산화 효과를 보인다.","엠블릭열매추출물, 인디안구스베리열매추출물","Nutrients, December 2016, ePublication
Pharmacological Research, September 2016, pages 180-200
Pharmacognosy Magazine, October 2015, pages S427-S433
Oxidative Medicine and Cellular Longevity, June 2015, ePublication
Indian Journal of Pharmaceutical Sciences, May-June 2015, pages 274-282
The British Journal of Nutrition, December 2013, ePublication
International Journal of Pharmaceutical and Chemical Sciences, January-March 2012, pages 11-16"
구아바,Guava,훌륭함,안티에이징,"항산화제, 식물추출물","구아바추출물은 갈릭애씨드, 쿼세틴 및 토코페롤을 포함한 생체 활성 항산화제의 풍부한 공급원이다.",구아바열매추출물,
구아바씨오일,Psidium Guajava Seed Oil,훌륭함,"안티에이징, 수분 공급","항산화제, 유연제(연화제), 식물추출물","유연제(연화제)
등급이 표시되지 않는 이유는 무엇일까요? 사실 성분 연구는 심층 분석을 필요로 하고 이를 위해서 충분한 시간이 필요합니다. 폴라초이스 연구진은 정확한 정보를 제공하기 위해 노력하고 있으며, 담당 팀에서 현재 내용을 검토중이거나 곧 진행할 예정입니다. 폴라초이스의 성분 데이터베이스는 매일 업데이트되고 있으니 수시로 최신 정보를 확인해주세요.","구아바, 구아바열매추출물",
